feat_9,feat_65,feat_11,feat_12,feat_67,feat_14,feat_68,feat_73,feat_69,feat_1,feat_70,feat_75,feat_100,feat_3,feat_84,feat_116,feat_15,feat_77,feat_4,feat_13,feat_92,feat_76,feat_108,feat_60,feat_124,feat_125,feat_52,feat_78,feat_117,feat_5,Gas Class
80127.0205,91174.6533,24.049747,37.332039,25.634138,-17.922769,36.74391,70505.9771,46.82465,38371.2206,-17.709764,17.641811,10.653069,9.250079,23.111378,39.731976,-25.734926,30.24093,12.900485,50.681177,20.430322,23.814306,10.735744,35.055019,35.247528,43.148544,33.512201,-13.312323,48.002394,17.872931,1
3994.9062,1371.9746,0.855557,1.405853,0.402949,-0.772599,0.793008,630.0069,4.110276,1617.606,-0.404269,0.246301,1.383978,0.392101,5.487117,7.579215,-1.445133,3.916304,0.75422,5.982926,4.862927,0.560925,1.408719,7.74681,6.407334,9.188198,7.240609,-0.28803,10.532287,3.757588,2
12548.4482,12788.5562,2.405838,3.131691,2.281033,-2.148859,2.868125,10412.8247,3.332136,12555.7989,-1.967504,1.80483,6.04212,2.589193,24.236907,37.648507,-2.618165,2.805128,3.56216,3.523869,17.732723,2.360112,6.127812,29.407858,30.201067,34.404763,26.983901,-1.517086,43.147094,3.956342,2
19233.0293,21429.6133,5.0333,8.5106,5.3281,-4.6473,8.1883,16128.498,22.9817,12502.751,-4.6345,3.8738,2.3258,2.785,2.9511,5.1995,-7.7669,19.7837,4.3048,21.5974,2.6724,5.9219,1.8797,5.296,4.7507,9.0041,4.859,-3.4644,10.3656,10.7597,4
41302.0835,32388.7392,11.882996,19.091307,8.124052,-7.518242,11.224159,27816.8071,12.151259,39546.7226,-5.381053,6.321108,4.653414,10.382143,6.041915,10.20298,-9.932555,9.562863,15.43998,20.541991,4.862521,8.438836,4.372406,11.911543,9.177303,10.421672,10.416816,-4.267705,11.35316,16.172078,4
41324.5449,33320.3418,7.8861,11.1369,5.5757,-5.2833,7.1903,25399.7852,16.2712,25714.6982,-4.44,4.171,1.3091,4.1183,1.7224,2.8083,-7.277,11.2475,5.3693,16.8684,1.4312,5.2774,1.2014,2.6945,2.6485,5.1835,2.6085,-3.3565,6.0879,8.4771,5
164756.4688,136417.1875,42.26116,64.53789,36.293093,-1.390768,55.24525,117244.6738,111.38127,151879.4883,-0.390254,30.922075,5.922139,37.389198,10.368335,22.485861,-1.77574,98.747939,53.951297,110.526854,8.563872,46.332138,4.418139,20.469183,19.745166,24.490931,18.783381,-0.361121,29.383191,97.197787,5
141022.8945,101819.7031,29.12457,38.212522,21.046072,-23.250112,26.616574,90619.7305,39.469265,155544.4492,-16.362488,18.055426,1.490484,31.387246,2.815367,4.30385,-34.474948,34.097613,39.854935,53.057103,2.259557,22.189134,1.431659,4.045926,3.890185,4.970663,3.767617,-14.32137,5.327375,51.090028,5
29673.9721,22373.8037,8.74742,11.797621,5.709902,-39.074102,7.690521,17402.3057,15.786041,24540.7603,-31.170696,4.246196,2.876543,6.171554,11.243687,17.468972,-112.636453,10.205703,7.808962,16.028255,8.710033,5.524053,2.745829,15.924379,14.127294,18.562497,14.680876,-26.56367,22.129062,11.165957,2
58600.0566,75091.7813,16.518455,24.889085,20.870186,-13.556877,30.217846,63883.9414,51.643976,64099.4844,-15.833436,17.063513,5.013076,16.113342,7.176454,15.38014,-19.03155,41.775695,22.519495,38.331719,7.166213,24.798561,4.248897,13.26387,15.140768,20.484621,12.503608,-13.290261,19.334145,32.772524,1
15103.6724,8756.7373,3.645974,5.664516,1.941365,-2.506085,2.887823,5834.915,5.831843,4325.471,-1.288967,1.273406,3.452397,1.336473,13.175174,20.269542,-3.861514,4.295196,2.146515,9.826238,11.16463,1.930341,3.582762,20.622123,16.479307,21.479271,18.446995,-0.815875,25.716317,4.998046,2
67366.6035,88594.9785,18.216473,28.01094,24.949674,-14.567348,37.872981,79822.0898,69.25988,89382.1172,-17.577317,22.298042,4.685279,23.441121,5.914613,13.308081,-23.27891,67.170278,34.278264,49.116753,5.755903,33.133833,3.615993,11.784823,12.730442,17.329144,11.071895,-15.203785,18.14575,58.142799,1
34330.7109,33228.3945,9.86647,15.560587,8.123769,-8.351764,11.529408,24266.5332,24.300156,24543.8378,-6.373769,5.391071,3.453008,11.570432,7.053151,11.058663,-12.753715,15.576822,17.70656,31.355141,5.694522,7.396778,3.308128,11.746704,10.051291,14.001879,10.845423,-4.323598,15.779264,32.262387,4
12478.039,12939.0332,4.04366,7.931042,3.253268,-2.918404,5.138039,8866.666,11.575937,4356.6884,-2.401803,2.124958,2.716977,1.133288,3.279488,5.695166,-4.715787,7.605311,2.376607,17.905166,2.766397,3.478435,2.441793,6.979667,5.232057,7.657819,6.122945,-1.567118,8.584251,7.334229,4
2956.4336,2401.935,2.809506,4.835608,1.789668,-0.350615,3.217177,1474.3974,7.748572,2254.0493,-0.282864,1.073839,1.393752,1.834833,0.794439,1.951967,-0.718075,5.256848,3.068192,8.976085,0.982198,2.00791,1.245658,2.371544,1.970644,4.623368,2.12093,-0.213655,4.855285,5.659711,6
46801.3526,48614.9121,13.283618,19.619899,12.354515,-10.138146,17.345368,35523.3438,28.809243,28752.54,-8.661085,8.138709,4.828242,8.666038,10.256427,15.618836,-14.799861,17.479966,12.752724,33.430983,8.226568,10.894001,4.517568,16.222717,14.241027,17.393454,15.01814,-5.986635,20.630504,21.331326,4
7688.5723,4508.894,1.537331,1.910069,0.81331,-0.804886,1.00646,4704.7593,1.803827,7577.5367,-0.448176,0.778206,1.48421,1.37914,1.663781,2.301217,-1.072015,1.713811,1.683345,2.422374,1.770463,0.946382,1.573227,3.623582,2.103217,2.958116,3.152917,-0.446551,3.286619,2.244067,3
57584.5157,36853.7607,18.341101,30.779835,10.110582,-10.360459,15.151883,21583.4326,20.942621,40868.876,-5.482154,5.770369,3.195266,16.931521,4.344056,7.976139,-15.060032,12.530298,27.389227,41.399483,4.280785,8.794444,2.929788,8.024806,7.015888,9.62167,7.152513,-3.075712,10.438185,37.166017,6
19983.6411,12697.7705,6.501662,11.951378,3.107038,-3.039732,4.893851,13159.1479,7.329983,17338.044,-1.653219,2.875128,4.135403,4.96628,4.972897,7.643392,-4.101337,5.819232,8.466814,14.918554,4.413317,4.200114,4.111306,9.855255,6.81771,8.80588,8.952707,-1.604104,9.659287,10.63853,3
38060.334,41625.6714,11.988705,20.018837,11.669389,-7.697152,17.269668,32332.9531,21.593897,45822.4233,-8.132404,8.256863,10.791952,13.733394,15.473182,31.906698,-11.795033,15.09977,21.899486,27.078734,13.48416,11.882593,10.373439,30.287677,28.07823,35.041321,27.959173,-5.966365,40.927868,28.58111,1
